Ticker,Total Current Assets,Total Current Liabilities,Total Debt,Total Equity,Operating Income (Loss),"Interest Expense, Net",Net Income,Revenue,Price to Earnings Ratio (quarterly),Price to Book Value,Current Ratio,Debt-to-Equity Ratio,Interest Coverage Ratio,Net Profit Margin,ROE
ADSK,0.0022693643547638,0.00568888501886,0.0003747833439378,0.1123717924429377,0.5364941236309139,0.1800623106780461,0.2002604514090983,0.3048331297893928,0.5012339480953288,0.2411461903299533,0.39891197435707004,0.0033352083809476893,2.9794914971971718,0.6569510720421264,1.782123850260646
AEE,0.0027839234379611,0.0101590001096047,0.0047912843684462,0.1217122229636119,0.5391149762231773,0.1775277463969654,0.2008905324894977,0.3063418951651649,0.5004382624005917,0.2350605083146775,0.2740351814081658,0.0393656795659598,3.036792767129909,0.6557723108071364,1.6505370421963095
AEP,0.0062027372189194,0.0315736437945718,0.0105825370321692,0.1316982424710128,0.5436667821826416,0.1733801815187219,0.2028460467254299,0.3105567269173991,0.5004165900400416,0.235032649974863,0.1964530055281673,0.08035442868190477,3.135691619540354,0.6531690642765637,1.5402335135191874
AES,0.0080631976185655,0.0234424973835843,0.0097996512867081,0.1187402550298183,0.542271400060882,0.1743921541527014,0.1998224324521686,0.3090083703406093,0.4999298032925272,0.2350906813227161,0.34395642608503757,0.08253015192065395,3.1094942470064217,0.6466570217237521,1.6828533204850264
AJG,0.0086656525113931,0.0257913489931812,0.001111101034676,0.1153362921392135,0.5372291023682797,0.1795392277971418,0.2006015771763173,0.3054306522781613,0.5000945215103519,0.2353884135379185,0.33599066546244455,0.009633576856579335,2.992265862785627,0.6567827285181114,1.739275413277433
AKAM,0.0013823609162382,0.0012880171585299,0.0003734389419263,0.1139705322728702,0.5365635114986205,0.1801887120738409,0.2001693458697709,0.3042739649869765,0.5005779564147154,0.2352640305800403,1.0732472833017075,0.0032766271638725534,2.9777864846424897,0.6578589327494336,1.756325445515355
ALB,0.0023903268269999,0.003912428289574,0.0008459063970187,0.1146967843939732,0.5370636059372128,0.17987050248782,0.2007012299790153,0.304945003605239,0.499195468084714,0.235287715941751,0.6109573518241194,0.007375153553678429,2.9858348006426474,0.6581554956015262,1.7498418202346853
ALGN,0.0010471957195351,0.0019629836870718,1.364096490731146e-06,0.1124338911405866,0.5364049985691918,0.180259677980085,0.2003566119152907,0.3041116684624526,0.5012055170712164,0.2355939609420207,0.5334714325095646,1.2132431572838556e-05,2.9757348098028533,0.6588257955647233,1.781994822760035
ALLE,0.0013147697019205,0.0022346287654122,0.0007245046614901,0.1118684023021674,0.5370630374343525,0.1798164853473972,0.2005031108302274,0.3047323986318099,0.5003973490199712,0.2361721388571445,0.5883615758781201,0.00647640125880356,2.9867285882980714,0.6579645345570342,1.7923122767825812
AMAT,0.0128064808689506,0.0141025675245548,0.0013689004918308,0.1226576659628541,0.5470791894701741,0.1789429356276562,0.2059940982581637,0.3110085024844699,0.5003231795464707,0.2358613394030293,0.9080956958123044,0.01116033377192552,3.0572829687366614,0.6623423366647346,1.6794229422280658
AMCR,0.0064194846246524,0.0184035558490624,0.0031283893213802,0.1163369368357687,0.5388298122756429,0.1789912667150409,0.2011921854633113,0.3092618445858472,0.5004192486894254,0.2352958295076762,0.3488176240125601,0.0268907657917494,3.010369288762423,0.6505561193064114,1.7293921512419708
AMD,0.0059203210181444,0.0093949778491387,0.0011180311122911,0.1199888514005879,0.5361588673768732,0.1793698599174453,0.1999025033295456,0.3068510273513933,0.5084668537198878,0.2352281691173895,0.6301580603180618,0.009317791605142593,2.98912463679037,0.6514643442944233,1.6660089749685374
AME,0.0018102804929081,0.003642027589899,0.0008177772847257,0.1151937419806153,0.5377526243558531,0.1797761224304363,0.2008347067523876,0.3051261309969179,0.5005383056512867,0.2353696239547197,0.49705293225367975,0.00709914679968739,2.9912349709507975,0.6582022526101386,1.7434515391138512
AMGN,0.0293474107554013,0.0317472453599856,0.011464666901869,0.1340385102429779,0.5522883662035281,0.1730832581296227,0.2074720556644758,0.3115086518222504,0.5004504384251135,0.2411307658051285,0.9244080997462205,0.08553263447263373,3.1908826548083424,0.6660234136381585,1.5478540852802787
AMP,0.0943367056737085,0.4876073979185536,0.0027152495997386,0.1204034579504693,0.5426564091308398,0.1777385189895892,0.2022618366617319,0.3083773329635638,0.500260654840574,0.2359739474778211,0.19346856933755097,0.02255125929070558,3.053116523169776,0.655890738524644,1.6798673402298536
AMT,0.0018245911121782,0.0090944863285985,0.007456472762648,0.1177723028418138,0.539166404331804,0.1769396331302447,0.2011496121362709,0.3054611884192626,0.5009736502224946,0.2359607276405063,0.20062607675164626,0.06331261750619908,3.0471771348984618,0.658511194751792,1.707953460046082
